Filter,MSE,RMSE,R2,NSE,MBE,PBIAS,KGE,Kurtosis,MAE,Correlation,Alpha,Beta,Mean_Gain_K,Gain_Status,Time_s,Mission,Total_FLOPs,FLOPs_per_Sec,Time_per_Sample,Whiteness_Pass,Max_ACF,NIS_Mean,NIS_Var,NIS_Consistent,Jump_Ratio,Jump_Pass,TE_Value,TE_Pass,PSD_Slope,PSD_Pass
Pellis,0.044097850340867696,0.20999488170159694,0.9962395784342767,0.9961392773788231,0.0001881537984446817,-0.1567003814649022,0.9915063847501665,27.405621002763453,0.1230336068136979,0.9981180182895592,1.0081329050114154,0.9984329961936663,0.42950801426088614,✅ Filtrando,81.25718400000005,ACE,56758320,698502.1779735718,0.00038654138600296864,False,0.9431759332174816,5.206474813998427,829.7714281750834,False,1.0880550546411298,True,0.013208440685758795,True,-3.617906420445667,False
Tsallis,0.04711776717699446,0.21706627369767617,0.9959868053564008,0.9958748866851003,-1.7001342160920207e-06,0.0014159250698384316,0.9911972153298588,26.107128112476538,0.12817638007404478,0.9979913854119187,1.0085705475263138,1.0000141592590268,0.410315678884527,✅ Filtrando,83.60287470000003,ACE,59911560,716620.8125615956,0.00039769986442516285,False,0.9448729510703419,3.8609795339992523,481.94970639217877,False,1.0966416889455741,True,0.014323916691868133,True,-3.617906420445667,False
JSD,0.04472434227242187,0.21148130478229482,0.996188688399118,0.9960844286378201,-8.714535590751398e-05,0.0725773841744522,0.9914496009237934,27.28921207635327,0.12366936884998818,0.9980925249690622,1.0083032593412036,1.0007257738500792,0.42884894946599983,✅ Filtrando,91.15568760000019,ACE,65166960,714897.3554558449,0.00043362868478136863,False,0.943735407036604,4.970682583972534,768.8784062891315,False,1.0941307001759262,True,0.01353815614157466,True,-3.617906420445667,False
Fisher,0.04150416122045945,0.20372570093255157,0.9964597421574245,0.9963663522630194,1.1140592930011735e-05,-0.009278235020013629,0.9919109031159817,29.2279134393117,0.11734828486964892,0.9982283016211394,1.0078921457595773,0.9999072176581275,0.45953794085474386,✅ Filtrando,85.88196530000005,ACE,49400760,575216.9250835647,0.0004085415253834154,False,0.9424822613206427,7.8855132934748005,1777.5424966694784,False,1.0863026784412844,True,0.012526662387091742,True,-3.617906420445667,False
AKF,0.6969451763436951,0.8348324241089915,0.9494969698675669,0.9389831479940278,0.0019448012544659493,-1.619691449055881,0.9173021418949696,11.99344062673146,0.5152330891006931,0.9744213512991015,1.0769566659039145,0.9838030855176348,0.15349901096381519,✅ Filtrando,28.53470070000003,ACE,37838880,1326065.4246146916,0.0001357399089507936,False,0.9941626726351883,0.3613765201146968,0.9707791310126644,False,1.733773092309798,True,0.02652805104384888,True,-3.617906420445667,False
PINN,0.09417817625627115,0.3068846302053447,0.9921743093726672,0.9917547950141957,-0.00027559305975835276,0.2295225392747533,0.9751783034265459,27.095275605347396,0.17758691919588865,0.9960794694062653,0.9755975820663938,1.0022952254010948,0.20004749283370493,✅ Filtrando,14.070179699999926,ACE,125078520,8889617.806373274,6.693201135974392e-05,False,0.9882289064581337,1.0931337468733917,27.278633040974373,False,1.3517749527407033,True,0.021502451607258485,True,-3.617906420445667,False
